Y,Y_hat,X
4,0,68
4,4,88
2,2,61
4,4,57
4,4,72
4,4,70
3,3,26
4,4,82
4,4,30
2,2,31
4,4,55
1,4,48
4,4,26
4,4,64
4,4,22
4,4,42
1,4,22
1,4,83
4,4,63
4,4,22
2,4,25
4,4,60
2,4,54
4,4,33
4,4,59
4,4,49
4,4,64
4,4,61
4,4,57
4,4,18
4,4,54
4,4,43
4,4,81
4,4,58
3,3,24
1,4,94
4,4,79
4,4,64
1,0,79
4,4,70
2,0,60
4,4,50
4,4,81
2,2,20
4,4,36
2,4,72
4,4,47
2,2,15
4,4,62
4,4,85
4,4,54
4,4,86
2,2,30
1,4,60
4,4,56
4,4,73
1,1,17
4,4,75
4,4,77
4,4,51
1,4,12
4,4,51
0,0,59
4,4,55
4,4,52
4,4,80
4,4,56
4,4,51
4,4,35
4,4,53
4,4,61
4,4,70
4,4,38
1,4,72
4,4,69
4,4,45
4,4,64
3,3,41
1,4,76
4,4,78
1,4,83
4,4,58
4,4,58
3,3,21
4,4,26
4,3,22
0,4,56
3,2,21
4,4,68
1,1,51
2,2,38
4,4,32
4,4,87
2,4,62
4,4,55
4,4,57
4,4,68
1,4,33
0,4,56
4,4,80
4,4,50
1,4,21
4,4,74
4,4,58
4,4,70
4,4,22
4,4,55
4,1,90
4,0,65
4,4,64
4,4,48
0,4,43
4,4,51
2,4,21
4,4,50
4,4,64
4,4,33
1,4,55
4,4,77
1,4,18
4,4,68
2,4,63
4,4,63
2,2,79
4,4,20
4,4,78
2,4,42
4,4,56
4,4,34
4,4,73
4,4,67
3,3,32
4,4,29
1,4,74
1,4,66
1,4,97
4,4,83
1,4,22
4,4,73
4,4,69
2,4,64
4,4,80
4,4,82
3,4,22
4,4,56
1,4,46
4,4,61
4,1,45
4,4,12
4,4,81
4,4,42
1,0,74
3,3,33
4,4,85
4,4,70
2,4,32
4,4,61
2,2,15
4,4,58
4,4,33
2,4,82
4,4,50
4,4,80
4,4,52
4,4,63
4,3,41
4,4,71
4,4,57
4,4,50
4,4,38
4,4,75
4,4,65
4,3,44
2,4,51
4,4,61
2,4,37
2,2,21
1,4,35
4,4,56
4,4,53
3,3,36
4,4,68
1,4,40
1,4,32
4,4,52
4,4,81
4,4,48
1,4,57
4,4,71
4,4,74
4,4,59
4,4,74
4,4,61
2,2,22
1,4,25
4,4,39
4,4,78
2,4,58
1,4,97
4,4,37
4,4,32
1,4,30
4,4,71
4,4,70
4,4,74
4,4,53
1,4,56
4,4,54
4,4,81
2,4,50
2,2,30
4,4,47
4,4,63
2,4,71
4,4,58
4,4,69
1,4,96
1,4,65
4,4,38
1,1,65
4,4,49
4,4,40
1,4,83
4,4,67
4,4,67
4,4,43
4,4,82
0,4,25
4,4,55
4,4,24
4,4,63
4,4,91
1,4,13
2,2,46
2,4,72
4,4,64
2,2,15
1,4,67
4,4,85
1,4,69
4,4,64
1,4,66
4,4,76
2,4,61
4,4,70
4,4,84
4,4,84
4,4,76
1,4,67
2,2,25
3,3,42
4,4,40
4,4,80
1,4,88
4,3,41
4,4,72
4,4,78
2,4,59
2,4,39
2,4,13
4,4,91
4,4,39
4,4,25
4,4,43
1,4,75
2,4,81
4,4,62
2,4,89
2,2,89
1,4,71
1,4,67
0,0,59
4,4,37
4,4,79
4,4,50
4,4,72
4,4,82
4,2,61
4,4,83
1,4,54
4,4,69
1,4,85
1,4,83
4,4,42
1,4,76
4,4,56
1,4,45
4,4,60
4,4,53
4,4,54
1,4,63
4,4,61
4,4,18
4,4,72
1,4,78
4,4,45
3,3,37
0,4,72
4,4,59
1,4,67
4,4,59
4,4,71
4,4,63
1,4,84
4,4,59
4,4,82
4,4,86
4,4,62
4,4,79
4,4,64
4,4,43
4,4,49
3,3,43
4,4,46
4,4,59
2,2,27
4,4,64
4,4,53
4,4,69
2,2,39
4,4,68
4,4,16
1,0,79
1,4,60
4,4,31
4,4,29
2,2,49
4,4,29
4,4,33
2,4,39
4,4,44
4,4,59
2,4,50
3,3,44
4,4,60
4,3,30
4,4,64
4,4,49
4,4,64
2,2,55
4,4,18
4,4,75
2,4,39
4,4,68
4,4,72
2,4,32
4,4,50
4,4,37
1,0,77
4,4,44
4,4,53
4,4,75
1,4,83
2,4,50
4,4,87
1,4,29
1,4,39
1,4,79
1,4,77
4,4,55
4,4,67
4,4,71
4,4,78
4,4,39
4,2,83
1,4,79
4,4,77
1,4,75
1,4,12
4,4,72
4,4,87
4,4,81
4,4,30
2,2,52
2,2,39
4,4,70
2,2,29
4,4,82
4,4,60
4,4,63
4,4,53
1,4,34
4,4,63
4,4,49
4,4,53
4,4,21
4,4,63
4,4,43
1,4,50
1,4,47
1,4,39
2,2,52
4,4,50
2,4,65
4,4,32
4,4,68
1,4,73
4,4,61
4,4,85
4,4,79
4,4,49
4,4,60
4,4,63
4,4,68
2,2,56
2,4,40
1,4,67
4,4,75
4,4,43
4,4,79
4,4,61
4,4,59
4,4,44
4,4,79
4,4,56
4,4,82
4,4,81
1,4,86
4,4,68
1,4,51
4,4,17
4,4,85
4,4,50
4,4,71
4,4,73
2,4,21
4,4,71
4,4,65
4,0,50
3,3,40
4,4,70
4,4,48
4,4,41
4,4,61
4,4,71
4,4,36
1,4,76
4,4,69
4,4,31
3,4,28
0,4,71
4,4,70
4,4,62
4,4,38
4,4,92
4,4,59
4,4,59
2,4,17
1,4,17
4,4,17
1,4,66
4,4,86
4,4,33
4,4,75
4,4,39
4,4,68
1,4,37
4,4,51
4,4,60
4,4,52
4,4,60
1,4,26
4,4,71
4,4,40
4,4,56
4,4,73
4,4,46
4,4,58
2,4,54
2,2,22
4,4,80
4,4,45
4,4,62
4,1,25
4,4,57
4,4,64
4,4,46
4,4,64
2,4,46
1,4,54
4,4,58
4,4,72
4,4,55
4,4,60
4,4,77
4,4,78
4,4,66
4,4,85
2,4,80
1,4,18
1,4,18
2,2,60
3,3,37
4,4,73
4,4,47
4,4,48
4,4,62
1,4,59
4,4,72
1,4,65
4,4,53
4,4,36
4,4,50
1,4,58
4,4,76
4,4,17
3,3,40
2,4,53
4,4,38
4,4,45
1,4,52
4,4,63
4,4,55
4,4,44
4,0,53
4,4,59
4,4,35
4,4,71
1,4,16
1,4,60
4,4,58
4,4,43
1,4,82
1,4,31
4,4,17
2,4,35
4,4,83
1,4,61
4,4,58
4,4,79
4,4,50
2,4,23
2,2,24
1,4,35
2,2,48
4,0,61
1,4,50
4,4,83
4,4,55
4,4,49
1,4,56
4,4,22
4,4,78
4,4,66
4,4,50
4,4,84
4,4,82
4,4,57
4,4,56
4,4,88
1,4,34
1,4,75
1,4,86
0,4,75
4,4,84
2,4,79
4,4,25
4,4,51
1,4,83
4,4,33
4,4,45
4,4,84
4,4,69
1,4,82
2,2,12
4,4,70
1,4,14
4,4,66
1,4,81
4,4,67
4,4,12
4,4,20
4,4,65
2,4,42
1,4,83
4,4,29
4,4,63
0,4,13
2,2,40
2,4,28
4,4,88
4,4,63
1,4,57
4,4,45
4,4,64
4,4,29
4,4,60
2,2,26
0,4,70
4,4,84
4,4,65
4,4,68
1,4,62
4,4,63
4,4,81
4,4,59
4,0,82
4,0,58
1,4,57
4,4,65
4,4,43
1,4,76
1,4,61
4,4,38
2,4,65
4,4,60
3,4,46
2,2,76
2,2,30
2,4,48
4,4,88
4,4,58
2,2,60
4,4,58
4,1,64
1,1,75
1,4,63
1,4,25
4,4,78
1,4,75
4,4,63
4,4,79
4,4,34
1,4,32
4,4,50
4,4,67
4,4,75
4,4,86
4,4,75
2,2,37
4,4,82
4,4,85
3,4,46
1,4,76
4,4,64
4,4,36
4,1,68
2,2,29
4,4,43
4,4,70
4,4,12
1,4,66
3,4,22
4,4,55
2,2,20
4,4,64
4,0,66
1,4,86
4,4,83
4,4,26
4,4,46
2,2,41
4,4,86
2,2,21
4,4,65
0,4,36
4,4,78
3,3,29
1,4,36
1,4,35
4,4,84
4,4,74
4,4,47
4,4,69
1,4,72
4,4,73
4,4,31
4,4,70
4,4,78
1,4,20
1,4,95
4,4,80
2,2,55
2,4,51
1,4,42
4,4,84
4,4,74
4,4,37
4,4,58
1,4,84
4,4,66
4,4,64
2,2,37
4,4,54
4,4,77
2,2,43
2,2,30
4,0,46
4,4,66
3,3,30
4,4,65
4,4,47
3,3,26
1,4,59
1,0,76
1,4,68
2,4,57
2,2,14
4,4,84
2,4,21
4,4,64
4,4,48
1,4,72
2,4,23
4,4,64
4,4,66
4,4,82
2,4,46
3,3,32
1,4,68
4,4,53
4,4,47
4,4,63
1,4,67
4,4,65
1,4,35
2,2,27
4,4,54
1,4,47
2,4,26
1,4,49
4,1,18
4,4,55
4,4,79
4,4,53
2,2,63
4,4,80
1,1,42
4,4,65
4,4,73
1,4,60
4,4,61
4,4,98
4,4,49
1,1,32
4,1,79
4,4,75
4,4,26
4,4,56
1,4,94
4,4,55
4,4,26
4,4,78
4,4,46
4,4,55
4,4,48
4,4,47
4,4,87
4,4,62
1,4,21
4,4,79
1,4,43
2,4,70
4,4,62
3,4,17
2,2,36
2,2,24
4,4,52
4,4,49
4,4,50
4,4,81
4,4,75
4,4,64
1,2,38
4,4,27
4,4,66
2,2,37
4,4,43
4,4,51
4,4,92
3,4,35
4,4,51
4,3,36
4,4,71
4,4,74
4,4,68
4,4,67
4,4,77
1,4,52
4,4,86
4,4,60
4,4,79
2,2,28
4,4,87
2,4,77
4,4,55
1,4,29
4,4,66
4,4,56
3,3,34
4,4,79
4,4,63
4,4,70
2,4,18
4,4,79
2,4,30
4,4,68
4,4,85
4,4,92
4,4,50
4,4,65
4,4,60
4,4,53
4,4,52
4,4,39
4,4,19
1,4,33
4,4,46
3,3,23
1,4,54
4,4,58
4,4,83
0,4,54
2,4,47
4,4,58
4,4,47
4,4,69
4,4,14
1,4,78
1,4,26
4,4,66
4,4,50
3,3,38
1,4,79
4,4,69
4,4,69
0,0,77
4,4,84
2,2,66
4,4,36
4,4,37
4,4,34
1,4,20
4,4,59
4,4,58
4,4,80
2,2,82
4,4,64
4,4,46
4,4,48
4,4,46
2,4,56
0,4,58
1,4,85
4,4,70
1,0,75
4,4,51
0,4,68
4,4,40
4,4,72
4,4,69
4,4,53
4,4,54
4,4,44
3,3,39
2,2,37
4,4,59
4,4,41
3,3,22
4,4,50
4,0,45
4,4,48
4,4,48
2,4,59
4,4,52
4,4,62
2,4,43
2,4,76
2,4,33
4,4,56
4,4,66
4,4,85
4,4,56
3,4,34
4,4,65
4,4,48
1,1,79
4,4,26
4,4,28
1,4,69
2,4,35
4,4,65
2,2,40
1,4,65
3,3,39
1,4,84
2,2,14
4,4,66
2,4,67
4,4,79
4,4,20
4,4,36
4,4,82
1,4,45
2,2,55
4,4,55
4,4,88
4,4,55
4,4,60
3,3,38
4,4,35
4,4,52
4,4,69
4,4,56
4,4,52
4,4,73
4,4,89
4,4,73
4,4,71
4,4,82
4,4,60
4,4,64
4,4,66
4,4,72
4,4,54
4,4,48
4,2,88
2,2,12
4,4,62
1,4,38
4,4,74
4,4,67
4,4,65
4,4,69
2,4,16
4,4,48
1,4,81
3,3,37
4,4,43
4,4,53
2,3,15
4,4,77
2,4,30
2,2,43
4,4,80
4,4,54
4,4,67
1,4,20
4,4,93
4,4,43
4,4,73
4,4,57
2,4,56
4,4,77
4,4,27
2,2,81
0,0,58
1,4,40
4,4,66
1,4,87
1,4,46
4,4,82
4,4,71
4,4,84
1,4,63
4,4,80
3,3,42
4,4,18
4,4,60
4,4,34
2,2,26
3,3,36
1,4,49
4,4,71
4,4,80
4,4,66
4,4,53
4,4,79
4,4,40
2,4,31
4,1,26
2,4,62
2,2,85
4,4,40
2,4,42
4,4,85
4,4,55
4,4,66
4,4,71
4,4,83
2,2,50
4,4,69
4,4,68
2,4,53
4,4,50
4,4,45
4,4,82
4,4,62
1,4,29
4,4,74
4,4,72
4,4,45
1,4,88
2,2,17
4,4,47
4,3,36
4,4,14
1,4,83
4,4,73
1,4,61
4,4,56
4,4,52
4,4,73
4,4,58
4,4,54
4,4,67
0,4,33
4,4,77
4,4,49
4,4,63
1,4,93
4,4,60
2,2,48
4,4,68
4,4,62
4,4,43
4,4,89
2,4,52
4,4,57
4,1,34
1,4,80
