Y,Y_hat,X
4,4,65
0,4,50
4,4,50
4,4,45
1,4,65
1,4,37
4,4,77
0,4,56
4,4,33
3,4,23
4,4,83
0,4,28
2,4,20
4,4,62
0,4,68
0,0,44
4,4,41
1,4,29
1,4,19
3,4,20
1,4,35
2,2,23
0,4,46
2,2,32
0,4,30
4,4,46
1,4,45
4,4,43
4,4,65
4,4,38
4,4,74
4,4,52
4,4,48
4,4,34
2,4,16
4,4,55
4,4,86
0,4,40
1,4,23
0,4,31
4,4,42
3,4,36
4,4,54
2,2,27
2,2,22
1,4,28
1,4,27
4,4,40
4,4,44
1,4,50
1,4,64
2,4,29
4,0,26
0,4,28
0,4,44
4,4,65
4,4,45
4,4,74
4,4,47
0,4,23
4,4,54
0,0,40
4,4,46
1,4,14
3,4,35
2,4,29
4,4,24
0,4,38
4,4,43
4,4,29
1,4,65
4,4,18
4,4,38
2,4,25
4,4,26
4,4,41
4,4,50
1,4,49
3,4,25
4,4,65
4,4,29
4,4,70
4,4,49
1,4,33
4,4,41
0,4,31
4,4,19
0,4,26
4,4,16
4,4,46
1,4,14
2,4,72
4,4,54
0,4,36
3,4,22
0,4,26
4,4,54
4,4,85
1,4,23
4,4,60
4,4,40
4,4,50
4,4,60
0,4,47
3,3,29
3,4,38
4,4,44
2,0,55
0,4,46
4,4,67
0,4,25
4,4,44
0,4,63
3,4,25
1,0,40
4,4,50
4,4,68
0,4,43
4,4,80
0,4,36
4,4,52
3,4,27
3,4,20
2,4,19
0,4,46
2,4,39
4,4,62
0,4,35
4,4,35
4,4,25
1,4,80
4,4,59
0,4,40
0,4,70
2,2,30
4,4,37
4,4,77
4,4,31
0,4,37
0,4,38
4,4,70
4,4,55
4,4,17
4,4,35
4,4,24
4,0,57
3,4,29
4,4,37
4,4,18
4,4,40
3,4,18
1,4,37
1,4,41
4,4,61
4,4,60
0,4,62
4,4,53
4,4,36
0,4,50
4,4,27
3,4,28
0,4,23
4,2,33
1,4,60
4,4,46
4,4,36
2,4,31
1,4,39
3,4,27
4,4,58
4,4,61
4,4,12
4,4,85
4,4,35
4,0,27
4,4,49
4,4,16
4,4,62
2,4,14
4,4,69
4,4,87
1,4,51
2,4,28
0,4,28
4,4,47
0,4,19
4,4,67
2,4,46
1,4,35
4,4,52
4,4,74
4,4,41
0,4,20
0,4,35
4,4,32
2,4,26
4,4,46
1,4,55
0,4,43
2,4,35
1,4,40
4,4,55
4,4,66
4,4,32
4,4,57
4,4,46
4,4,70
3,4,26
4,4,54
4,4,54
4,4,72
4,4,58
4,4,35
1,4,43
4,4,35
3,4,17
3,4,30
2,4,37
4,4,51
0,4,30
4,4,58
4,4,52
0,4,20
4,4,50
3,3,21
3,4,29
2,2,26
0,4,41
4,4,47
0,0,22
2,4,35
2,4,31
4,4,40
0,0,43
4,4,42
0,4,30
4,4,47
1,4,35
0,4,30
4,4,41
0,4,43
4,4,58
4,4,70
4,4,75
2,4,22
4,4,29
0,4,25
4,4,74
1,4,40
4,4,54
4,4,48
0,1,30
4,4,75
3,4,27
4,4,41
0,4,25
4,4,35
0,0,40
4,4,19
4,4,69
4,4,50
4,4,44
4,4,36
1,4,39
2,4,33
4,4,37
4,4,40
4,2,63
2,4,18
0,4,62
4,4,50
0,4,34
4,4,48
3,4,35
4,4,73
0,4,42
4,4,53
4,4,65
4,4,52
4,4,38
4,4,55
4,4,72
1,4,30
4,4,60
0,4,88
1,0,32
4,4,70
1,4,45
4,4,47
1,4,40
4,4,77
2,4,24
4,4,58
2,4,33
4,4,50
4,4,86
4,4,58
4,4,45
4,4,64
4,4,32
0,4,35
4,4,75
4,4,60
4,4,70
4,4,48
3,4,20
4,4,30
0,4,44
3,4,25
4,4,61
1,4,64
4,4,45
0,4,35
3,4,36
1,4,30
4,4,31
4,4,65
4,4,35
3,4,25
2,2,29
2,2,24
4,4,50
4,4,60
4,4,37
1,4,65
4,4,34
2,2,19
4,4,35
4,4,60
4,4,70
4,4,18
3,4,23
4,4,28
2,4,18
4,4,18
4,4,58
4,4,82
4,4,54
4,4,27
4,4,42
4,4,31
4,4,38
0,4,37
4,4,44
1,4,75
3,4,35
4,4,71
1,4,30
4,4,52
1,4,34
3,4,25
2,4,52
3,4,17
4,4,31
4,4,38
0,4,35
4,4,102
4,4,56
4,4,32
4,4,38
2,2,18
4,4,40
4,4,60
4,4,52
4,4,76
0,4,39
2,4,26
1,4,35
